UNIX,Hour,Minute,TVOC,eC02,H2,ETH
1596412812,0,0,167,742,13184,18600
1596412892,0,1,143,701,13213,18633
1596412932,0,2,133,692,13222,18650
1596413012,0,3,100,626,13269,18713
1596413053,0,4,105,650,13252,18703
1596413133,0,5,84,608,13285,18735
1596413173,0,6,71,583,13299,18748
1596413253,0,7,68,595,13296,18752
1596413293,0,8,74,602,13294,18747
1596413373,0,9,65,596,13298,18760
1596413414,0,10,64,589,13301,18769
1596413494,0,11,54,586,13307,18777
1596413534,0,12,56,574,13310,18769
1596413614,0,13,44,582,13309,18792
1596413654,0,14,55,594,13299,18771
1596413735,0,15,65,598,13292,18762
1596413775,0,16,63,587,13300,18768
1596413855,0,17,73,609,13285,18746
1596413895,0,18,67,601,13289,18750
1596413975,0,19,77,618,13272,18745
1596414015,0,20,80,610,13288,18747
1596414096,0,21,82,609,13276,18733
1596414136,0,22,78,620,13276,18735
1596414216,0,23,66,592,13291,18758
1596414256,0,24,62,601,13293,18774
1596414336,0,25,56,591,13301,18767
1596414377,0,26,59,595,13294,18764
1596414457,0,27,57,583,13299,18773
1596414497,0,28,55,598,13295,18768
1596414577,0,29,66,624,13267,18756
1596414617,0,30,57,596,13290,18767
1596414697,0,31,81,652,13241,18721
1596414738,0,32,93,675,13227,18707
1596414818,0,33,135,722,13196,18655
1596414858,0,34,136,722,13194,18652
1596414938,0,35,162,751,13170,18609
1596414978,0,36,155,743,13178,18624
1596415059,0,37,135,737,13184,18639
1596415099,0,38,134,714,13198,18645
1596415179,0,39,104,666,13236,18695
1596415219,0,40,101,651,13240,18697
1596415299,0,41,120,686,13216,18676
1596415339,0,42,105,682,13231,18703
1596415380,0,43,100,656,13239,18712
1596415460,0,44,85,646,13258,18729
1596415500,0,45,79,639,13257,18740
1596415580,0,46,71,632,13260,18746
1596415620,0,47,83,637,13262,18734
1596415701,0,48,75,634,13262,18747
1596415741,0,49,75,633,13257,18737
1596415821,0,50,89,660,13239,18720
1596415861,0,51,72,631,13261,18739
1596415941,0,52,77,627,13260,18738
1596415982,0,53,83,637,13260,18725
1596416062,0,54,82,642,13260,18738
1596416102,0,55,89,641,13249,18718
1596416182,0,56,77,619,13268,18733
1596416222,0,57,75,637,13262,18753
1596416302,0,58,69,611,13276,18747
1596416343,0,59,66,607,13280,18756
1596416423,1,0,81,638,13262,18733
1596416463,1,1,77,620,13274,18745
1596416543,1,2,73,632,13257,18742
1596416583,1,3,72,639,13258,18743
1596416664,1,4,68,624,13269,18754
1596416704,1,5,67,627,13260,18754
