UNIX,Hour,Minute,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Temp15,Temp16,Temp17
1630627208,0,0,19.12,33.69,34.75,13.13,34.00,29.25,34.63,34.56,15.25,27.12,31.50,33.69,35.13,31.50,35.00,35.19,34.19
1630627266,0,1,19.19,34.31,34.81,13.13,34.00,29.25,34.50,34.44,15.25,27.12,31.50,33.69,35.19,31.50,35.06,35.19,34.25
1630627324,0,2,19.19,34.44,34.81,13.13,34.00,29.37,34.50,34.13,15.25,27.25,31.50,33.81,35.13,31.50,35.13,35.13,34.25
1630627382,0,3,19.12,34.44,34.88,13.06,34.00,29.31,34.44,34.06,15.25,27.25,31.50,33.94,35.13,31.44,35.13,35.06,34.31
1630627440,0,4,19.06,34.81,34.81,13.06,33.94,29.37,34.38,34.25,15.19,27.31,31.50,33.94,34.88,31.56,35.13,35.19,34.25
1630627537,0,5,19.12,34.75,34.75,13.06,34.00,29.50,34.44,34.38,15.13,27.25,31.50,34.00,35.06,31.44,35.06,35.31,34.25
1630627595,0,6,19.12,34.88,34.81,13.06,33.94,29.50,34.44,34.38,15.13,27.19,31.50,33.88,34.94,31.44,35.06,35.44,34.13
1630627653,0,7,19.00,34.69,34.75,13.06,33.94,29.44,34.38,34.19,15.13,27.12,31.50,34.13,35.13,31.44,35.13,35.31,34.13
1630627711,0,8,19.00,33.94,34.81,13.00,33.94,29.37,34.38,34.13,15.13,27.12,31.50,34.13,35.13,31.56,35.06,35.38,34.00
1630627769,0,9,19.00,34.63,34.88,13.00,33.94,29.25,34.38,34.06,15.13,27.19,31.50,34.00,35.19,31.81,34.88,35.38,33.94
1630627827,0,10,19.00,34.81,34.69,13.00,33.94,29.25,34.38,33.94,15.13,27.12,31.50,33.88,35.06,31.75,35.00,35.38,33.88
1630627884,0,11,19.12,34.50,34.81,13.00,34.00,29.37,34.44,34.19,15.13,27.06,31.50,33.75,35.06,31.69,34.94,35.50,33.81
1630627942,0,12,19.06,34.25,34.81,12.94,33.88,29.37,34.44,34.00,14.94,27.06,31.50,33.88,35.00,31.69,35.13,35.50,33.81
1630628000,0,13,19.06,33.81,34.75,12.94,33.88,29.19,34.31,34.06,14.81,27.19,31.50,33.88,35.00,31.75,35.13,35.38,33.81
1630628058,0,14,19.06,34.31,34.69,12.94,33.81,29.12,34.44,34.44,14.88,27.12,31.50,34.00,34.88,31.81,35.25,35.25,33.88
1630628116,0,15,19.06,34.38,34.88,12.88,33.75,29.12,34.44,34.69,14.88,27.06,31.50,34.00,34.88,31.81,35.13,35.19,33.81
1630628173,0,16,19.12,34.69,34.75,12.88,33.81,29.06,34.50,34.75,14.88,27.06,31.50,34.06,35.00,31.81,35.13,35.38,33.88
1630628231,0,17,19.06,34.38,34.63,12.88,33.88,29.12,34.50,34.75,14.88,27.06,31.50,34.06,35.06,31.62,35.25,35.38,34.00
1630628289,0,18,19.00,34.63,34.38,12.88,33.88,29.06,34.56,34.81,14.88,27.06,31.50,34.13,35.13,31.62,35.19,35.31,34.06
1630628347,0,19,19.00,34.69,34.38,12.88,33.81,29.12,34.31,34.81,14.81,27.12,31.50,34.13,35.00,31.62,35.13,35.38,34.06
1630628405,0,20,19.25,34.56,34.50,12.88,33.88,29.00,34.44,34.81,14.81,27.06,31.50,34.06,35.06,31.75,35.13,35.44,34.00
1630628463,0,21,19.44,34.88,34.56,12.88,33.81,28.94,34.44,34.75,14.81,27.00,31.50,34.06,35.00,31.75,35.13,35.44,34.00
1630628520,0,22,19.31,34.88,34.50,12.81,33.81,28.81,34.50,34.75,14.81,26.94,31.50,33.81,35.06,31.94,35.19,35.44,34.00
1630628618,0,23,19.12,34.56,34.44,12.81,33.81,28.75,34.44,34.56,14.75,27.00,31.50,33.69,35.06,31.94,35.19,35.38,34.00
1630628676,0,24,19.06,34.75,34.56,12.88,33.81,28.81,34.44,34.56,14.75,27.00,31.50,33.75,35.06,31.69,35.19,35.38,34.00
1630628734,0,25,19.50,34.63,34.38,12.81,33.88,28.81,34.44,34.63,14.69,26.87,31.50,33.88,35.06,31.75,35.19,35.38,34.00
1630628792,0,26,19.56,34.56,34.44,12.81,33.88,28.75,34.31,34.50,14.69,26.94,31.50,33.81,35.06,31.81,35.19,35.44,34.00
1630628849,0,27,19.37,34.75,34.50,12.81,33.88,28.75,34.25,34.63,14.69,27.00,31.50,33.94,35.13,31.75,35.19,35.44,34.00
1630628907,0,28,19.25,34.88,34.63,12.75,33.94,28.81,34.38,34.69,14.63,27.00,31.50,33.88,35.00,31.69,35.19,35.38,34.00
1630628965,0,29,19.12,34.94,34.81,12.81,33.94,28.94,34.38,34.63,14.63,27.12,31.50,33.81,34.94,31.56,35.13,35.38,34.00
1630629023,0,30,19.19,34.88,34.50,12.81,33.94,28.94,34.25,34.56,14.63,27.19,31.50,33.88,34.94,31.75,35.13,35.31,34.00
1630629081,0,31,19.19,34.44,34.63,12.75,33.94,28.94,34.38,34.63,14.56,27.25,31.50,33.94,34.88,31.75,35.06,35.50,34.00
1630629139,0,32,19.12,34.06,34.50,12.69,33.94,28.94,34.31,34.75,14.56,27.19,31.50,34.00,34.94,31.62,35.13,35.44,34.00
1630629196,0,33,19.06,33.88,34.50,12.75,33.88,28.87,34.38,34.81,14.56,27.19,31.00,34.00,35.00,31.81,35.19,35.25,34.00
1630629254,0,34,19.00,34.00,34.50,12.75,33.94,28.94,34.50,34.75,14.50,27.25,31.50,34.00,35.00,31.94,35.13,35.38,34.00
